Zeit [ms];Abs. Messwert;Kal. Messwert;Zeitdiff.;;;
1957;8636870;188;14;;;
1970;8853869;308;13;;;
1984;8984195;381;14;;;
1998;9127029;460;14;;;
2011;9263671;536;13;;;
2024;9386048;604;13;;;
2038;9598405;722;14;;;
2052;9686304;771;14;;;
2065;9741810;802;13;;;
2078;9753831;808;13;;;
2092;9726059;793;14;;;
2105;9559760;701;13;;;
2119;9405907;615;14;;;
2133;9193423;497;14;;;
2146;8957088;366;13;;;
2159;8744917;248;13;;;
2173;8450478;84;14;;;
2186;8355706;32;13;;;
2198;8301262;1;12;;;
2210;8297249;0;12;;;
2221;8300937;1;11;;;
2232;8301206;1;11;;;
2243;8300814;1;11;;;
2256;8300449;1;13;;;
2267;8300440;1;11;;;
2278;8300431;1;11;;;
2289;8300459;1;11;;;
2301;8300643;1;12;;;
2313;8300713;1;12;;;
2324;8300863;1;11;;;
2336;8301025;1;12;;;
2347;8300902;1;11;;;
2358;8300856;1;11;;;
2369;8300700;1;11;;;
2382;8300583;1;13;;;
2393;8300604;1;11;;;
2404;8300526;1;11;;;
2415;8300425;1;11;;;
2427;8300513;1;12;;;
2438;8300588;1;11;;;
2450;8300582;1;12;;;
2461;8300603;1;11;;;
2473;8300664;1;12;;;
2484;8300684;1;11;;;
2495;8300657;1;11;;;
2507;8300618;1;12;;;
2519;8300584;1;12;;;
2530;8300617;1;11;;;
2541;8300551;1;11;;;
2553;8300492;1;12;;;
2564;8300396;1;11;;;
2575;8300476;1;11;;;
2587;8300379;1;12;;;
2599;8300417;1;12;;;
2610;8300499;1;11;;;
2621;8300478;1;11;;;
2632;8300461;1;11;;;
2644;8300346;1;12;;;
2656;8300100;1;12;;;
2667;8299882;1;11;;;
2679;8299871;1;12;;;
2690;8300127;1;11;;;
2701;8300204;1;11;;;
2713;8300169;1;12;;;
2725;8300046;1;12;;;
2736;8300096;1;11;;;
2747;8300143;1;11;;;
2758;8300250;1;11;;;
2770;8300175;1;12;;;
2782;8300231;1;12;;;
2793;8300269;1;11;;;
2804;8300358;1;11;;;
2816;8300382;1;12;;;
2827;8300480;1;11;;;
2838;8300372;1;11;;;
2851;8300177;1;13;;;
2862;8300190;1;11;;;
2873;8300347;1;11;;;
2884;8300539;1;11;;;
2896;8300593;1;12;;;
2907;8300701;1;11;;;
2919;8300807;1;12;;;
2930;8300870;1;11;;;
2942;8300934;1;12;;;
2953;8300897;1;11;;;
2964;8300994;1;11;;;
2976;8301382;2;12;;;
2988;8301804;2;12;;;
2999;8302286;2;11;;;
3010;8302904;2;11;;;
3022;8303282;3;12;;;
3033;8303628;3;11;;;
3045;8303378;3;12;;;
3056;8303034;2;11;;;
3068;8303116;2;12;;;
3079;8303100;2;11;;;
3090;8302747;2;11;;;
3101;8301898;2;11;;;
3114;8301049;1;13;;;
3125;8301024;1;11;;;
3136;8301421;2;11;;;
3148;8300615;1;12;;;
